supplier_id,supplier_name,contact_email,phone,city,region,profile,avg_lead_time_days,delay_rate,return_rate,is_active,supplier_tier,high_risk_flag
1,Tata Steel Supplies,kkumar@example.org,6415476146,Kakinada,Central,poor,16,0.426,0.117,1,Tier 3,1
2,Mahindra Materials,abahri@example.com,919461511897,Bidhannagar,Central,average,17,0.215,0.057,1,Tier 2,0
3,Infosys Components,benjamin86@example.com,916014773747,Raebareli,Central,average,16,0.198,0.07,1,Tier 2,0
4,HDFC Procurement,arorawarhi@example.com,919188838996,Mathura,North,reliable,12,0.051,0.023,1,Tier 1,0
5,Wipro Supplies,bhattacharyyayug@example.com,196000093,Chinsurah,North,average,12,0.18,0.078,1,Tier 2,0
6,Reliance Raw Co,umangchakraborty@example.net,4940698698,Tirunelveli,East,average,16,0.209,0.072,1,Tier 2,0
7,ONGC Industrials,libni85@example.org,7702177910,Gudivada,West,poor,17,0.399,0.123,1,Tier 3,1
8,Bajaj Components,virajdhillon@example.com,913953355419,Pallavaram,West,poor,16,0.419,0.132,1,Tier 3,1
9,TVS Logistics,waidaborde@example.net,919276377514,Nanded,West,poor,16,0.391,0.124,1,Tier 3,1
10,HUL Materials,zkrishnan@example.com,536183312,Madhyamgram,West,reliable,12,0.076,0.018,1,Tier 1,0
11,ITC Supplies,aachal45@example.org,918643627656,Hapur,Central,reliable,7,0.086,0.028,1,Tier 1,0
12,Adani Resources,ishanker@example.com,913503912744,Bidar,West,reliable,6,0.032,0.035,1,Tier 1,0
13,Bharat Forge,vrittipalla@example.org,7533979010,Ambarnath,South,poor,18,0.399,0.111,1,Tier 3,1
14,Godrej Materials,ymall@example.org,914774419706,Indore,West,poor,17,0.393,0.144,1,Tier 3,1
15,L&T Components,divyadevi@example.net,5573025455,Bidhannagar,North,reliable,12,0.087,0.036,1,Tier 1,0
16,Suzlon Parts,anita13@example.com,7713375086,Asansol,South,reliable,12,0.086,0.022,1,Tier 1,0
17,JSW Supplies,zbhagat@example.org,919711813394,Moradabad,East,reliable,11,0.08,0.049,1,Tier 1,0
18,Hindalco Metals,ikshitachad@example.org,9202178649,Madhyamgram,South,average,17,0.193,0.065,1,Tier 2,0
19,SAIL Distributors,viraj65@example.net,2276762764,Davanagere,Central,reliable,7,0.082,0.021,1,Tier 1,0
20,GAIL Materials,dev93@example.net,9864770628,Jhansi,West,average,15,0.216,0.07,1,Tier 2,0
21,Motherson Parts,neel43@example.net,6612476975,Karnal,North,reliable,9,0.074,0.043,1,Tier 1,0
22,Bharat Electronics,shankerbenjamin@example.org,910801284067,Bathinda,Central,average,17,0.212,0.068,1,Tier 2,0
23,HAL Components,mahika24@example.org,6481208338,Karnal,West,average,15,0.18,0.081,1,Tier 2,0
24,BEL Supplies,warhitailor@example.com,912525861652,Tumkur,West,average,17,0.216,0.085,1,Tier 2,0
25,Siemens India,rajagopalanjali@example.com,2210465635,Thane,South,average,16,0.174,0.081,1,Tier 2,0
26,ABB Components,bakshicharvi@example.org,918471522109,Visakhapatnam,North,average,15,0.205,0.078,1,Tier 2,0
27,Bosch India Parts,inaya03@example.net,911732068091,Indore,West,poor,22,0.439,0.142,1,Tier 3,1
28,Honeywell Supplies,yadavmohini@example.org,919745589941,Mau,South,reliable,12,0.088,0.015,1,Tier 1,0
